model_id,provider,task_id,mode,sample_index,individual_valid,family_valid,validations_match,individual_passed_rule_count,family_passed_rule_count,individual_error_count,family_error_count,warning_count,individual_errors,family_errors,warnings
small_qwen25_coder_1_5b,ollama,tritonbench_t_011,baseline,1,True,True,True,7,6,0,0,2,,,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_012,baseline,1,False,False,True,6,3,3,6,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_013,baseline,1,False,False,True,6,3,3,6,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_014,baseline,1,False,False,True,6,4,3,4,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: sigmoid, tl.exp, exp",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_015,baseline,1,False,False,True,8,5,1,2,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_016,baseline,1,False,False,True,8,4,1,5,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_017,baseline,1,False,False,True,6,4,3,4,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: sigmoid, tl.exp, exp",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_018,baseline,1,False,False,True,8,7,1,1,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: import torch,
small_qwen25_coder_1_5b,ollama,tritonbench_t_019,baseline,1,False,False,True,6,4,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_020,baseline,1,False,False,True,6,4,3,4,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: grid | Missing family evidence; expected one of: mode, bilinear, nearest, index, fill, repeat, tile | Missing family evidence; expected one of: padding_mode, align_corners, dim, dims, value | Missing family evidence; expected one of: torch.nn.functional.grid_sample, @triton.jit, tl.load, tl.store",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_021,baseline,1,False,False,True,6,3,3,4,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_022,baseline,1,False,False,True,6,4,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_023,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_024,baseline,1,False,False,True,7,4,2,4,2,Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: tl.dot, bmm, matmul, dot, mv, linear",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_025,baseline,1,False,False,True,6,4,3,4,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_026,baseline,1,False,False,True,6,6,3,2,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: grid | Missing family evidence; expected one of: torch.nn.functional.grid_sample, @triton.jit, tl.load, tl.store",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_027,baseline,1,False,False,True,8,6,1,2,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: import torch | Missing family evidence; expected one of: grid,
small_qwen25_coder_1_5b,ollama,tritonbench_t_028,baseline,1,False,False,True,6,4,3,4,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: grid | Missing family evidence; expected one of: mode, bilinear, nearest, index, fill, repeat, tile | Missing family evidence; expected one of: padding_mode, align_corners, dim, dims, value | Missing family evidence; expected one of: torch.nn.functional.grid_sample, @triton.jit, tl.load, tl.store",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_029,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_030,baseline,1,False,False,True,6,6,3,2,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: grid | Missing family evidence; expected one of: torch.nn.functional.grid_sample, @triton.jit, tl.load, tl.store",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_031,baseline,1,False,False,True,6,4,3,4,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: sigmoid, tl.exp, exp",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_032,baseline,1,False,False,True,5,2,4,5,2,Missing expected wrapper: input | Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing expected wrapper: input | Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_033,baseline,1,False,False,True,5,2,4,5,2,Missing expected wrapper: eig | Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing expected wrapper: eig | Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_034,baseline,1,False,False,True,6,3,3,4,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_035,baseline,1,False,False,True,6,4,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_036,baseline,1,False,False,True,6,3,3,6,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_037,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_038,baseline,1,False,False,True,6,4,3,3,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_039,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_040,baseline,1,False,False,True,6,3,3,6,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_041,baseline,1,False,False,True,6,5,3,3,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_042,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_043,baseline,1,False,False,True,5,2,4,5,2,Missing expected wrapper: zeta | Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing expected wrapper: zeta | Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_044,baseline,1,False,False,True,7,5,2,3,0,Missing required term: import triton | Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",
small_qwen25_coder_1_5b,ollama,tritonbench_t_045,baseline,1,False,False,True,8,5,1,3,0,Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",
small_qwen25_coder_1_5b,ollama,tritonbench_t_046,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: grid | Missing family evidence; expected one of: mode, bilinear, nearest, index, fill, repeat, tile | Missing family evidence; expected one of: torch.nn.functional.grid_sample, @triton.jit, tl.load, tl.store",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_047,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_048,baseline,1,False,False,True,7,5,2,3,0,Missing required term: import triton | Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",
small_qwen25_coder_1_5b,ollama,tritonbench_t_049,baseline,1,False,False,True,7,4,2,3,0,Missing required term: import triton | Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",
small_qwen25_coder_1_5b,ollama,tritonbench_t_050,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_051,baseline,1,False,False,True,7,3,2,6,2,Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_052,baseline,1,False,False,True,6,3,3,6,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_053,baseline,1,False,False,True,7,4,2,3,2,Missing required term: import triton | Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: argmax, max, tl.sum, tl.max, tl.min",Candidate contains TODO/pass marker | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_054,baseline,1,False,False,True,8,6,1,2,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_055,baseline,1,False,False,True,6,4,3,4,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: sigmoid, tl.exp, exp",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_056,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_057,baseline,1,False,False,True,6,4,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_058,baseline,1,False,False,True,6,3,3,6,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_059,baseline,1,False,False,True,6,3,3,6,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_060,baseline,1,False,False,True,4,3,5,5,0,Unbalanced parentheses | Missing expected wrapper: solve_symmetric_ldl | Missing required term: import triton | Missing required term: import triton.language as tl | Missing semantic evidence; expected one of: solve_symmetric_ldl,"Unbalanced parentheses | Missing expected wrapper: solve_symmetric_ldl | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",
small_qwen25_coder_1_5b,ollama,tritonbench_t_061,baseline,1,False,False,True,8,4,1,4,0,Missing required term: import triton.language as tl,"Missing family evidence; expected one of: import torch | Missing family evidence; expected one of: grid | Missing family evidence; expected one of: mode, bilinear, nearest, index, fill, repeat, tile | Missing family evidence; expected one of: padding_mode, align_corners, dim, dims, value",
small_qwen25_coder_1_5b,ollama,tritonbench_t_062,baseline,1,False,False,True,7,5,2,3,0,Missing required term: import triton | Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: tl.dot, bmm, matmul, dot, mv, linear",
small_qwen25_coder_1_5b,ollama,tritonbench_t_063,baseline,1,False,False,True,7,4,2,4,0,Missing expected wrapper: scaled_add_dot | Missing required term: import triton.language as tl,"Missing expected wrapper: scaled_add_dot | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",
small_qwen25_coder_1_5b,ollama,tritonbench_t_064,baseline,1,False,False,True,6,3,3,6,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_065,baseline,1,False,False,True,7,6,0,0,4,,,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_066,baseline,1,True,True,True,7,6,0,0,2,,,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_067,baseline,1,False,False,True,8,5,1,3,0,Missing required term: import triton.language as tl,"Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: tl.dot, bmm, matmul, dot, mv, linear",
